0, 175700601030.8167
1, 55621964406.3492
2, 53662764255.56718
3, 52652346314.97254
4, 45573083402.832016
5, 42076043631.298744
6, 39983519850.52415
7, 37300853410.50221
8, 33775693480.4075
9, 28193923016.76873
10, 19149325705.536655
11, 17371348892.234222
12, 16626854576.441854
13, 16054742078.50011
14, 14977946880.319723
15, 13028200567.598623
16, 9869534870.001965
17, 8934754173.515768
18, 8273675703.437842
19, 7633109739.9017315
20, 6635666805.369801
21, 6242400919.706946
22, 5736415674.783338
23, 5180950997.248786
24, 4847791046.157133
25, 4836480726.753487
26, 3505666440.601179
27, 1950637829.0437229
28, 1906538658.4396787
29, 1905641883.4884884
30, 1882651361.8169205
31, 1826477255.8571963
32, 1826077261.8117023
33, 1824172704.821072
34, 1813490992.109792
35, 1806805277.0875032
36, 1806800736.0962174
37, 1795543663.5250335
38, 1794828110.8940735
39, 1794826427.929988
40, 1732769081.128197
41, 1591066571.6768658
42, 1591042974.3825667
43, 1591042432.8584325
44, 1591038730.2143857
45, 1591027863.5045042
46, 1591025451.127607
47, 1591019542.1478858
48, 1591017281.2879617
49, 1591013340.5147684
0, 175700601030.8167
1, 36907840736.19411
2, 30912350415.03537
3, 24414612229.75083
4, 18095097310.04297
5, 15908839093.471128
6, 15359498275.036682
7, 12208416446.141907
8, 9688017369.814629
9, 8937585608.133873
10, 8770192256.65308
11, 8708560018.196493
12, 7483491331.401968
13, 7321077013.468238
14, 6153073286.955432
15, 5930804600.747188
16, 5790174068.329979
17, 5643565112.559702
18, 5552749216.052355
19, 5083071466.630444
20, 4997927863.507105
21, 4909355045.737575
22, 4857933521.402941
23, 4843743219.420409
24, 4818820955.921399
25, 4798873318.236884
26, 4798837192.454675
27, 4623464747.110714
28, 4621176032.311842
29, 4621160507.351404
30, 4621155180.313909
31, 4566764591.13832
32, 4258013367.253333
33, 3926892179.8369336
34, 3300252342.3350787
35, 3267287037.470054
36, 3244734335.1443357
37, 3182531346.8583736
38, 3181901161.1566167
39, 3181897398.033567
40, 3181893038.655857
41, 3169265724.988365
42, 3168385675.685554
43, 3168383869.3808217
44, 3168380653.136538
45, 3168376011.4405212
46, 3168372007.1042385
47, 3168367983.5358977
48, 3168365701.5342617
49, 3162410141.589324
0, 157677906896.98404
1, 60326870692.54976
2, 46379476204.00851
3, 34060347475.428307
4, 30839273787.604218
5, 27458679062.495007
6, 27075501092.325317
7, 25207415024.135174
8, 22854984591.936817
9, 22481862744.18052
10, 21488808820.90334
11, 20029287629.678673
12, 18019329499.687885
13, 14926460352.854042
14, 14922887697.4362
15, 14808803111.637789
16, 14726192782.906567
17, 14667797819.292849
18, 14635591976.23932
19, 14621346951.868013
20, 13712957263.30231
21, 13295954350.287031
22, 12805805428.497948
23, 11576914706.706167
24, 11469725343.193356
25, 11188414671.229782
26, 11123822079.664698
27, 11121338784.504377
28, 11043584905.367985
29, 11014112630.259195
30, 10995294267.71164
31, 10995293417.11478
32, 10995289308.737902
33, 10991013418.27499
34, 10991007336.16561
35, 10868274957.444096
36, 10672153426.377083
37, 10536167032.750158
38, 10459414766.886961
39, 10440883293.232887
40, 10430764520.487902
41, 10430758819.011
42, 10430756328.436302
43, 10430755266.278976
44, 10430748801.581999
45, 10430745783.687609
46, 10430742313.431494
47, 10430735523.198711
48, 10430732222.216635
49, 10430729410.09714
0, 156023749621.3253
1, 57811242959.59741
2, 43437705592.53238
3, 27121545528.114166
4, 24963373820.413185
5, 17354205488.802734
6, 14973318633.493097
7, 11946414678.813404
8, 11173483070.766468
9, 10734678210.391052
10, 10154140839.35653
11, 9879980644.320705
12, 8194895997.099881
13, 7619233474.243696
14, 7183133850.865475
15, 6272945719.110138
16, 6214129387.652474
17, 6103569445.8458
18, 5739509424.769594
19, 5423995264.466346
20, 5282835599.920842
21, 5271822129.748674
22, 5271816303.4772005
23, 5261490187.8347845
24, 5239838446.358324
25, 5194985627.673276
26, 4740811716.788525
27, 3534232528.886121
28, 3496886514.512111
29, 3429110904.869453
30, 3412154701.2800813
31, 3392505165.6069617
32, 2795653213.350036
33, 2731570236.440784
34, 2712238193.952519
35, 2681608248.1360188
36, 2681605664.316622
37, 2681604931.6080327
38, 2681595728.7724185
39, 2681594138.3790436
40, 2674893526.104469
41, 2674892137.767884
42, 2674888499.279315
43, 2674886402.4584937
44, 2674877259.026969
45, 2674870934.6602783
46, 2674865999.737521
47, 2674863867.07855
48, 2674862310.4774885
49, 2674857135.809351
0, 162744972921.58896
1, 58508238331.11158
2, 29234131408.268253
3, 26671094245.196743
4, 19036499052.580765
5, 17223973059.543087
6, 14850123750.833904
7, 13257211938.039106
8, 13005602831.265623
9, 12724897055.032526
10, 11509718493.114817
11, 10606094934.72689
12, 9480498009.76195
13, 8823836693.541092
14, 7870358352.165474
15, 7396069712.087368
16, 6806361374.92378
17, 5829723159.63793
18, 5683353041.498196
19, 5513437026.425618
20, 5450977807.957642
21, 5447283817.384139
22, 5391795469.664365
23, 5383597595.094498
24, 5054330341.400686
25, 4643365156.709522
26, 4619827086.306967
27, 4197713434.6550283
28, 4097225420.197084
29, 4074631309.7763996
30, 3784510379.3925104
31, 3563416043.629249
32, 3236429921.1083283
33, 3197452113.4206095
34, 3183709874.7705007
35, 3175321318.9571953
36, 2698432303.790588
37, 2193037306.537827
38, 2037528422.5196884
39, 1959632196.125222
40, 1951403267.2222686
41, 1875646588.1723905
42, 1843497788.856748
43, 1842531726.2690532
44, 1836857198.2393692
45, 1836846175.384444
46, 1828308823.529513
47, 1813835731.2158623
48, 1813825875.2326264
