epsilon, pop_size, DG, DG Fac, DG Runs, DG PSO, Single, Single Fac, Single Runs, Single PSO, ODG, ODG Fac, ODG Runs, ODG PSO, Tree, Tree fac, Tree Runs, Tree PSO, Tree2, Tree2 fac, Tree2 Runs, Tree2 PSO, PSO
0.001,10,296468501128.6688,13,50,10.186153846153847,epsilon, pop_size, DG, DG Fac, DG Runs, DG PSO, Single, Single Fac, Single Runs, Single PSO, ODG, ODG Fac, ODG Runs, ODG PSO, Tree, Tree fac, Tree Runs, Tree PSO, Tree2, Tree2 fac, Tree2 Runs, Tree2 PSO, PSO
0.001,10,122422058327.01462,13,50,10.021538461538462,65.94892256269692,1000,18,7.6639995615717655,2023017.7079911183,1000,14,9.786917672737195,14039.84764260041,1000,18,7.780363192091964,1514600.5786904602,500,35,7.394072571557358,6657790014815.815
0.001,10,124559522129.47241,13,50,10.27076923076923,66.17218477964548,1000,18,7.71304872033759,3081371.8629592834,1000,14,9.77382170384012,10183.550762943158,1000,18,7.930249347475981,1361894.7214098151,500,35,7.187288708586883,6994306983379.545
0.001,10,203071639727.7994,13,50,10.273846153846154,65.3239976791308,1000,18,7.633967227489451,18876464.389477834,1000,14,9.760930359457063,18677.142865462793,1000,18,7.921641583828511,1451784.8381825534,500,35,7.384550371872887,7096743239145.18
0.001,10,318849660888.7309,13,50,10.493846153846153,66.49403605424985,1000,18,7.672713322737985,111008.82152097716,1000,14,9.794420571584476,12339.852345826333,1000,18,7.909646248681068,2330707.3366857166,500,35,7.172695514987605,7122214833173.958
0.001,10,297459843403.8299,13,50,10.376923076923077,120.88888787051903,1000,18,7.687619882720448,743711.6884101777,1000,14,9.708819316554123,12685.153711341023,1000,18,7.887932470705836,690384.2658108327,500,35,7.262846517917512,6666903031697.968
0.001,10,202421406993.0498,13,50,10.31076923076923,66.58417003072609,1000,18,7.695895215651888,1968196.073104134,1000,14,9.74271877770957,10360.058791311756,1000,18,7.922974398844894,1578054.0098930167,500,35,7.238224025242281,6772593727744.547
0.001,10,269437510131.84622,13,50,10.418461538461539,67.41519179537926,1000,18,7.699676659176851,262601723.66299528,1000,14,9.753768501466476,9784.012269390867,1000,18,7.868106847337146,750427.0959015336,500,35,7.2896100969123285,6782532721092.678
0.001,10,208004889555.8274,13,50,9.961538461538462,120.53582901728596,1000,18,7.647448895708884,24769701.46981581,1000,14,9.72109678739513,12366.982044925986,1000,18,7.797301049591826,2476891.624015247,500,35,7.321670047329277,6495603672389.168
0.001,10,180297071699.4042,13,50,10.432307692307692,66.86584666841242,1000,18,7.69140132624541,1859631.6887914885,1000,14,9.75028988472819,18107.895294942653,1000,18,7.903593047148331,1481455.6816301967,500,35,7.251577642551274,6896535362240.165
0.001,10,160848292250.20346,13,50,10.489230769230769,65.24665791961222,1000,18,7.690579273305201,649351.5889669457,1000,14,9.766659845849533,11153.298640390662,1000,18,7.86916199255845,2623869.4683372756,500,35,7.357955826008564,6793505007975.457
0.001,10,471668618776.05524,13,50,10.264615384615384,67.74083003998038,1000,18,7.589795582835535,728842.7178034123,1000,14,9.713662096719187,9280.416316104305,1000,18,7.88515577275504,693752.8729677618,500,35,7.244590939824206,6625887443135.735
0.001,10,278063818175.79626,13,50,10.133846153846154,34.4771140639012,1000,18,7.697320107414917,3348828.2256793063,1000,14,9.808607871222973,12055.871733502643,1000,18,7.93013827955795,632984.4270105239,500,35,7.430809105251296,6626508261201.894
0.001,10,133225331374.16953,13,50,10.356923076923078,92.81682329433073,1000,18,7.652710034526224,28693988.55648321,1000,14,9.720141872996384,7966.53799470317,1000,18,7.894763147664797,1173790.720237372,500,35,7.318007662835249,6850793807318.611
0.001,10,254133556921.9996,13,50,10.170769230769231,65.72454299472926,1000,18,7.63073381925796,1486979670.969239,1000,14,9.717754586999522,11984.84611948429,1000,18,7.89937246626312,816325.1105706497,500,35,7.320205093531666,6942195131345.633
0.001,10,420504624195.32715,13,50,10.04923076923077,64.46684386578916,1000,18,7.645804789828465,27029492.879640684,1000,14,9.727917604529022,14206.831306278473,1000,18,7.90881323929583,1492234.4939818454,500,35,7.436105476673428,6913468723984.902
0.001,10,171549813223.18387,13,50,10.038461538461538,66.77957102155129,1000,18,7.6600537074587605,27056950.042631038,1000,14,9.736170793261033,12505.362575676294,1000,18,7.800410951296718,1063717.181493823,500,35,7.2918638719855755,6778826076502.94
0.001,10,196321087290.58987,13,50,10.258461538461539,68.1099023196935,1000,18,7.617032936921138,40014653.23132406,1000,14,9.731600845781324,13005.435242814998,1000,18,7.978841561614928,682395.2140126316,500,35,7.262677484787019,6878270555039.671
0.001,10,204204933382.28485,13,50,10.253846153846155,67.12255434425339,1000,18,7.644160683948046,84347.01713923793,1000,14,9.76434076802401,9593.975398773178,1000,18,7.859499083689676,805273.0947101269,500,35,7.25518368266847,6689751329712.356
0.001,10,141903812081.9797,13,50,10.250769230769231,65.08487240074216,1000,18,7.640872472187209,108339.93375382428,1000,14,9.751926880840324,8952.308054053135,1000,18,7.784028433387016,897561.7080871556,500,35,7.4068627450980395,7027168159237.803
0.001,10,141565856370.96252,13,50,10.298461538461538,66.69723981528622,1000,18,7.668219433331506,4799961.07308212,1000,14,9.795716526839916,12374.486170396221,1000,18,7.894207808074638,2050012.1820276114,500,35,7.310626549470363,6690875616260.21
0.001,10,180378666672.81012,13,50,10.589230769230769,60.734216057510494,1000,18,7.613635118101605,1942720.7344242393,1000,14,9.84121137712298,8799.371107548472,1000,18,7.970955739434665,1103386.4357411882,500,35,7.245154383592517,6644217542280.904
0.001,10,202062967236.30185,13,50,10.124615384615385,66.43149892754343,1000,18,7.664766810982627,73116.08597764673,1000,14,9.802605552145147,11463.629069107248,1000,18,7.909201977008941,1184640.917218344,500,35,7.358012170385395,6627500714249.856
0.001,10,242888470502.1397,13,50,10.307692307692308,149.89342123325392,1000,18,7.609744067517948,4108493.4241870968,1000,14,9.782211308914809,8938.40155684811,1000,18,7.888210140500917,2722666.938705206,500,35,7.408158665765157,6927595262746.006
0.001,10,185126255783.82245,13,50,10.332307692307692,64.99669804822396,1000,18,7.6479421274730095,25274098.73862123,1000,14,9.85826341995771,14458.974266123296,1000,18,7.824734825345699,2833032.194306483,500,35,7.265494703628578,7105471763689.562
0.001,10,162456066549.7166,13,50,10.5,66.4142050625668,1000,18,7.6940318956540805,764821.6262219979,1000,14,9.72239274265057,10472.842466434366,1000,18,7.954295551729883,813109.8578687108,500,35,7.269495154383592,6979600382644.687
